F606W err (muJy),F814W err (muJy),F125W err (muJy),F160W err (muJy),F606W/F814W err,F814W/F125W err,F125W/F160W err
0.0229189,0.0262236,0.0264936,0.0224872,0.04377349932169721,0.04467046193543099,0.04014113424796147
0.0111384,0.014085,0.0263212,0.0227483,0.42059030669363706,0.1487436820464016,0.3840032168116226
0.0166872,0.0213841,0.0224125,0.0188351,0.1766553245828377,0.17821311079555135,0.1364666566765593
0.0303371,0.0372524,0.068948,0.060227,0.15329431703695068,0.16577526031394582,0.13461596612614335
0.0206827,0.0262825,0.0331844,0.0294506,0.08911638985062345,0.036591398304738704,0.04059184360689527
0.0484183,0.0593616,0.0769077,0.0651931,0.04516271206231727,0.038335564941987296,0.03122216124424369
0.0120927,0.0146923,0.0176485,0.0159027,0.17534010288593208,0.09127808763104463,0.08068286683694662
0.0643431,0.0811341,0.0812725,0.073662,0.04983685156039828,0.011703163661820358,0.009240851469404343
0.02039,0.0259321,0.0296742,0.0264137,0.037783527514325704,0.040121141171843316,0.03935403259366074
0.0131776,0.0157009,0.0238491,0.0210264,0.11356471532440654,0.08257847737641442,0.0667847917364458
0.0113373,0.0138408,0.0231731,0.0191933,0.20540131207784898,0.23371258361547967,0.3204705841244404
0.0346324,0.0419815,0.0526159,0.045422,1.2855700041957892,2.212786433293495,0.40645945352435137
0.0125498,0.015032,0.0225318,0.0206943,0.11421219795370074,0.0691474452481958,0.053026551876057065
0.0160719,0.0198738,0.0230843,0.0211135,0.10488696871581907,0.10456574302842177,0.09584795215051715
0.0319703,0.0398045,0.0445901,0.0388722,0.01855606639997238,0.017898652689637855,0.016895023582806444
0.0126352,0.0155749,0.0179691,0.0162938,0.1354024744475377,0.14016518210254475,0.10973447561183473
0.0168023,0.0207222,0.0366548,0.0217503,0.08767942346019734,0.10791977357748855,0.1054465031193184
0.0276821,0.0347051,0.0385029,0.0337473,0.023571163373145083,0.023850964162913487,0.02317495699116269
0.0181819,0.0235412,0.0245997,0.0210232,0.03722432600027964,0.044299758665025384,0.05688226133665453
0.0267342,0.0350105,0.0303779,0.0272624,0.15281496039468742,0.12263940860805285,0.10746121083448716
0.0254073,0.0310754,0.0386488,0.0350637,0.04996843838433542,0.024454699285856012,0.024326923817769155
0.0186588,0.0243776,0.033756,0.030672,0.07925446158328998,0.01971922624572793,0.020043761023921757
0.0228695,0.0308103,0.0564221,0.0405981,0.026154905516684115,0.021450771525355097,0.028641631818293305
0.0385898,0.0506071,0.0534991,0.0473997,0.024020559725097288,0.024110199165968824,0.021915698407790278
0.0204303,0.0243665,0.0225361,0.0195724,0.1975309154549065,0.07838858454378787,0.08888732962716073
0.010181,0.0138177,0.017579,0.0149625,0.06382042157035013,0.09457889571559504,0.09534314872368699
0.0224512,0.0260015,0.0301108,0.0269199,0.10195428935166251,0.09966174972431868,0.07310181524727927
0.0101032,0.0133313,0.0164791,0.0144293,0.0757658176100766,0.053512939902634574,0.07650496771259434
0.00662601,0.00793994,0.0120561,0.0109723,0.40714658025558287,0.13437726447407716,0.15376956917431164
0.0189382,0.0223514,0.0282707,0.0247965,0.109123083775699,0.05607045501441569,0.05611818879977454
0.0403648,0.0479543,0.0559856,0.0515756,0.6244267422837124,0.6020385203505437,0.2728534261421248
0.00701111,0.00950007,0.0103497,0.00965278,0.28381780581460264,0.44269099798415507,0.10973145494888412
0.00868698,0.0101827,0.0116341,0.0104604,0.1925966428030843,0.19326225330440977,0.1576927022886178
0.0826543,0.142999,0.179928,0.146178,0.0018212366727365977,0.0017682613563663671,0.0021141230638669047
0.0165112,0.0202359,0.0246067,0.0216799,0.14185388243537783,0.08490924549480314,0.0797024635041544
0.0174417,0.0208468,0.0265265,0.0236757,0.8016383378529875,0.1857664487216374,0.2821758815698673
0.0135779,0.0164933,0.0164006,0.0144013,0.277511668482424,0.0955665423762072,0.0821490317882603
0.0146453,0.0186957,0.0222968,0.0203024,0.11886941784628896,0.12264770073724017,0.1436409452179019
0.0188399,0.0248713,0.0291786,0.0250777,0.026543940093614483,0.025501294869117137,0.026803881684623405
0.0201703,0.0243468,0.0301033,0.0275626,0.140584365838721,0.05071281572398927,0.05019463534652256
0.0169271,0.0198388,0.0220322,0.0200469,0.24192098958231478,0.3400963063205839,0.2042799078626796
0.0190724,0.0255598,0.0204423,0.017966,0.1107646475943553,0.1327684340538805,0.10083369196603642
0.0278474,0.0342756,0.0371591,0.03106,0.0525832669694019,0.030218361268107202,0.028229300834871462
0.0267542,0.0313211,0.0386001,0.0335939,0.34389398549112604,0.07569229381165597,0.13475741857312093
0.0176367,0.0208897,0.0249677,0.022162,0.10711625377974203,0.10764109483868256,0.07883297073525393
0.0116228,0.0144519,0.02058,0.0175496,0.19746534539125493,0.3934760684225008,0.19154529628311084
0.0325858,0.0401749,0.0403444,0.0371326,0.44605041654671007,0.04578033241896729,0.027614614481010383
0.0186988,0.0227132,0.0268186,0.0246708,0.11972727924384784,0.1384228513089075,0.06974522703957142
0.0324448,0.0415408,0.0485943,0.0428032,0.1860439979316477,0.2132000372891276,0.3004566038967358
0.0201399,0.0247638,0.021065,0.0190841,0.13111278007803337,0.11181698757702532,0.0810218740851075
0.0126488,0.015981,0.022042,0.0196393,0.04553182707485671,0.06842215352163822,0.06012850270378772
0.0295566,0.0377954,0.0427877,0.0395627,0.06697689284011639,0.05822704598228356,0.030750209318396643
0.0182643,0.0231852,0.040911,0.036374,0.15285460528774933,0.17024863007190638,0.2853987716258574
0.0157579,0.0204182,0.0236156,0.0202862,0.22257915408191523,0.22620065605315304,0.2800353910235718
0.0189214,0.0236094,0.0269967,0.0242261,0.1671383564174505,0.2716379990725509,0.16650422979491727
0.0414755,0.0521613,0.092329,0.0801579,0.23596319752694367,0.16409320262888696,0.16748005575674418
0.0355464,0.044139,0.0830549,0.0737471,0.07912247416467845,0.072264763814771,0.08705087831868724
0.02859,0.0359176,0.0467285,0.0452462,0.23297512189193548,0.04589624569234455,0.022954216753326897
0.00948607,0.0107252,0.0177197,0.0148279,0.13208363117492367,0.06919478445776012,0.173823698710008
0.0203618,0.0233141,0.0186112,0.0174709,0.43158349959594056,1.4495444727640796,0.18672253063922462
0.0418897,0.0492356,0.0412716,0.0359635,0.075719775472367,0.06230413942115663,0.05652643795734301
0.0177878,0.0207854,0.0253475,0.0225228,0.14874190818432856,0.06914257040322759,0.08355191307618749
0.014693,0.0191954,0.0215904,0.0189306,0.32511093247024886,0.3850412368537801,0.4599280488898403
0.016473,0.0200036,0.0168743,0.0145431,0.18436993909325558,0.22634904227975333,0.15475546436928822
0.0146446,0.0178226,0.0162773,0.015313,0.5123386440095015,0.14769715419178925,0.1283234722004655
0.0204468,0.024887,0.0201935,0.0180622,0.11051624410717366,0.13549551120194314,0.09258505710698507
0.0100035,0.0127103,0.0147246,0.0133201,0.15583080433337373,0.20531091540092936,0.1614911362856179
0.0224029,0.0273133,0.0298775,0.0271059,0.06935785594351658,0.09494931868404921,0.06907213177561711
0.0126231,0.0158581,0.0240156,0.0219061,0.18232230070631572,0.11388361560499752,0.1293299864228244
0.0173129,0.0193014,0.0182893,0.0157193,0.22002190173913524,0.23760705297821239,0.06691728704288204
0.00877552,0.010833,0.0170911,0.0151848,0.09301967012335093,0.11988405624620171,0.1260366852130641
0.0778926,0.134175,0.299099,0.239656,0.0012901576905819364,0.0018273733887186842,0.002394749185405797
0.0131547,0.0157208,0.019757,0.0177508,0.42996059061846387,0.11299214159471577,0.11287663202770169
0.0119297,0.0157621,0.0205445,0.0190443,0.1557863998497446,0.22504073529713342,0.15143870659957095
0.0107549,0.0129938,0.0186453,0.0165816,0.09461084937550229,0.11645187920827149,0.14605410554480977
0.011808,0.0142916,0.0202241,0.0178887,0.08104886706815072,0.10369552059743707,0.06519968640535838
0.0238202,0.0313807,0.0361121,0.0308869,0.02563420775599264,0.024663587981390858,0.028081069020889953
0.0255324,0.0326611,0.0564202,0.0471253,0.04345811566045858,0.05354901490135621,0.062924449961862
0.0267589,0.0347523,0.0301082,0.0261744,0.04642432763741448,0.03714934863896311,0.03140164458428335
0.0194189,0.0225273,0.0177638,0.0160604,0.24484728154937146,0.4679478859662185,0.209582747083743
0.012974,0.0162152,0.0188267,0.016878,0.20890184362337827,0.21997146505867157,0.1636934168226347
0.0145561,0.0170799,0.0210122,0.0187821,0.16139085938818631,0.05936159927932075,0.08344099210721874
0.0127091,0.0147285,0.0162545,0.0147971,0.31420381779309114,0.2979614551920712,0.22848789474322145
0.0114113,0.0149808,0.0201437,0.0174723,0.1269140205328737,0.1379540933390383,0.1630047862080141
0.0210646,0.0252626,0.0301276,0.0276453,0.1352755673097046,0.10336060362760341,0.062272183403914445
0.00766099,0.00921541,0.0184748,0.0160928,0.12165705283667873,0.18449623227504952,0.1763869463222848
0.0160727,0.019075,0.022177,0.0214749,0.2255931391761733,0.27298119718277003,0.15593012277704663
0.0171441,0.0207021,0.0187471,0.0162234,0.15161130219305494,0.08085311451579916,0.07099998203358113
0.012284,0.0141715,0.0392018,0.0311488,0.41302893474940905,0.2111711145947483,0.3115303885911428
0.0175264,0.0196977,0.0181368,0.0172365,1.0424862509517123,0.15933441141223167,0.16167909706843123
0.0144495,0.0161425,0.0220213,0.0195892,0.06511129770563054,0.06879723181714556,0.08086410162423202
0.0109348,0.013879,0.0175739,0.0151973,0.24522064303146154,0.1738266016503452,0.18478170522023482
0.0355517,0.0459773,0.0396471,0.0348589,0.03587267439237715,0.029072096370659467,0.02224402792473159
0.0129938,0.016398,0.0202616,0.0187224,0.08826932053495248,0.1283209359173319,0.0747965864871297
0.00750124,0.00906327,0.0113202,0.0102136,0.9423799709787326,0.2435299863731041,0.170549883841524
0.0140749,0.0180201,0.0213574,0.0190279,0.09830806019977444,0.07913578968830715,0.10058018953925474
0.0415154,0.0561057,0.073351,0.0685567,0.01962255395839721,0.008189161850070077,0.006694053990392692
0.0109782,0.0139037,0.0164425,0.0147045,0.19376899985932255,0.1423978357184446,0.14221164702506686
0.0276955,0.0362696,0.0549968,0.0400968,0.03607028138357305,0.018713382411879448,0.028001593130379206
0.00901362,0.0112584,0.0219172,0.0196927,0.21747449863930635,0.29398730927017314,0.13221099092442623
0.00908202,0.0121516,0.0138985,0.0126974,0.2813463933617358,0.3577376732025843,0.20850331447561696
0.0390175,0.0508258,0.0565392,0.0496493,0.01346102038857685,0.013639301509123292,0.011929435031415938
0.0732812,0.118713,0.140449,0.110788,0.002394892408013723,0.002302098588301585,0.002548559008550494
0.0106751,0.0139304,0.0353276,0.0294547,0.05779927434012091,0.04040826346053112,0.049761352013091405
0.0232783,0.0293066,0.0371225,0.034573,0.14948571729610813,0.03664188213378825,0.03080418191197368
0.0164152,0.01905,0.0244804,0.0224328,0.5055228738465455,0.13016408900969964,0.11132213818870008
0.0152881,0.0189736,0.0222736,0.0208773,0.2619848964971541,0.21922393218929492,0.10961668136560473
0.028449,0.0390337,0.0517776,0.0462824,0.02325210246316713,0.011328923080056863,0.011869217569854516
0.028332,0.0344134,0.0389799,0.0350339,0.13272329595191312,0.13391229099657467,0.08884422052999118
0.0111977,0.0138408,0.0184049,0.0171738,0.17102821184113687,0.17371034951596728,0.22037543480961252
0.0148261,0.0185495,0.028409,0.0250353,0.10554537273091344,0.05398311943433469,0.07936536848429067
0.0199429,0.0253942,0.0271269,0.0241992,0.040494548956993885,0.06446684176913774,0.04748553282680994
0.0150895,0.0175293,0.024482,0.0219509,0.09718341518290033,0.042888890986908124,0.05698958078095907
0.0363661,0.0403043,0.0449923,0.0385405,0.043581844057710234,0.018051239684076865,0.023545265254872418
0.0105711,0.0136357,0.0157545,0.0129348,0.15586509564844306,0.2875983262761383,0.19313467284920416
0.01276,0.0169892,0.0221782,0.0193605,0.08119188965161295,0.09392097386465828,0.09804366390329364
0.0181832,0.0218272,0.016798,0.0155484,0.11437324137168361,0.19263955848464667,0.13350784583622374
0.0206496,0.0274023,0.031922,0.0278556,0.23995289576169626,0.34656575392430483,0.34147660414118747
0.0137697,0.0168051,0.0209904,0.0184865,0.4337928690032755,0.12593816586401424,0.17614418432191167
0.0278651,0.0316509,0.027312,0.025003,0.2923019985951146,0.1750280652430695,0.0946011211376897
0.0233771,0.0263242,0.0323567,0.0302914,2.048187195097399,0.5839643689886975,0.3060874988814502
0.0262614,0.0358593,0.0450358,0.0408751,0.026657477295502607,0.01652065768130918,0.014877534904095612
0.0230546,0.0300163,0.0344342,0.0307669,0.10229385768413943,0.11561395552307108,0.11383452384359563
0.0136913,0.0168145,0.0152271,0.012295,0.23314394397749724,0.2377596120896225,0.19070447760934353
0.0324264,0.0408554,0.0720479,0.0443642,0.04128617543888003,0.043149271372687883,0.04991051316462645
0.0222437,0.0284477,0.0339345,0.030347,0.13789445527078922,0.13626190630071744,0.0932212984106836
0.0115184,0.015808,0.0342737,0.0281624,0.09737115433338898,0.14241226744077093,0.1576182728246469
0.0329323,0.0421063,0.0546356,0.0514794,0.09049605058058237,0.017848524488297803,0.013576825927773376
0.0338488,0.0409567,0.0328105,0.0300464,0.20392999219979316,0.39894792242457705,0.14623862229889906
0.0145948,0.0166888,0.022263,0.0197416,0.14139831958688714,0.11683755509982308,0.13131816790218823
0.0158102,0.0194834,0.016618,0.0148257,0.2418822573627675,0.14343961537134425,0.11902237869858913
0.0151436,0.0207578,0.0204479,0.0199481,0.1899695028338931,0.12438844601735685,0.18222094970671335
0.0176819,0.0224508,0.0345513,0.0315936,0.058875704013448056,0.02708855218571067,0.030520642051206748
0.0114598,0.015118,0.0383875,0.0338218,0.03792946816392661,0.04589927213922086,0.07682030685633635
0.0246275,0.0293336,0.0257007,0.024553,0.22400376705085037,0.18464070872030516,0.0650544944396758
0.0141853,0.0174201,0.0204612,0.0179672,0.1344678451069187,0.12876474335806537,0.10451008608638275
0.00866374,0.0114495,0.0184663,0.0161141,0.053390126598395614,0.08237659400712231,0.07998939078114572
0.0107666,0.0143474,0.0214274,0.01846,0.07352625343440167,0.07028651792522093,0.08761892294122986
